"Freq [GHz]","dB(St(2,1)) [] - g_pillar_position='27.4um'","dB(St(2,1)) [] - g_pillar_position='28.4um'","dB(St(2,1)) [] - g_pillar_position='42.4um'","dB(St(2,1)) [] - g_pillar_position='57.4um'","dB(St(2,1)) [] - g_pillar_position='72.4um'","dB(St(2,1)) [] - g_pillar_position='87.4um'","dB(St(2,1)) [] - g_pillar_position='102.4um'"
13.1,-0.0782406584177636,-0.0790472538367648,-0.076488471743429,-0.0765322897980601,-0.0763278865764636,-0.0781968602925835,-0.0786218867791018
13.2,-0.0786585455549001,-0.0794993728524691,-0.0768846852242605,-0.0769272724806543,-0.0767329399944609,-0.0785965484155409,-0.0790316579862462
13.3,-0.0790791616572768,-0.0799540499619615,-0.0772834546486939,-0.0773247739320403,-0.0771403320292333,-0.0789988372308759,-0.079444110843282
13.4,-0.0795025022405739,-0.0804112676475845,-0.0776847754636023,-0.0777247887743249,-0.0775500452152033,-0.0794037210643957,-0.0798592405864194
13.5,-0.079928549246263,-0.0808709960329932,-0.0780886303632716,-0.0781272990590665,-0.0779620508820444,-0.0798111812236868,-0.0802770290904533
13.6,-0.0803572976008837,-0.0813332175924982,-0.078495014159534,-0.0785322987642239,-0.0783763317200379,-0.0802212112938483,-0.0806974709692255
13.7,-0.080788741899171,-0.0817979146759747,-0.0789039213084327,-0.0789397815034036,-0.0787928703730989,-0.0806338044498,-0.0811205604957451
13.8,-0.0812228763990115,-0.0822650695110716,-0.0793153459047504,-0.0793497405215783,-0.0792116494384748,-0.081048953454551,-0.0815462916032171
13.9,-0.0816596950164326,-0.0827346642056303,-0.0797292816765993,-0.0797621686908486,-0.0796326514665315,-0.0814666506573475,-0.0819746578859726
14,-0.0820991913206679,-0.0832066807501681,-0.0801457219801105,-0.0801770585063533,-0.0800558589605029,-0.0818868879917534,-0.0824056526002075
14.1,-0.0825413585292406,-0.0836811010204388,-0.0805646597941963,-0.0805944020821987,-0.0804812543763621,-0.0823096569736334,-0.0828392686646848
14.2,-0.0829861895031265,-0.0841579067800971,-0.0809860877153862,-0.0810141911475563,-0.0809088201226613,-0.0827349486990708,-0.0832754986612466
14.3,-0.0834336767419895,-0.0846370796833735,-0.0814099979528029,-0.0814364170428072,-0.0813385385604617,-0.0831627538422755,-0.0837143348352613
14.4,-0.0838838123794629,-0.0851186012777946,-0.0818363823232307,-0.0818610707158701,-0.0817703920032953,-0.0835930626533908,-0.0841557690959039
