"Freq [GHz]","dB(St(1,1)) [] - g_pillar_position='27.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='28.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='42.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='57.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='72.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='87.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='102.4um' gpillar_r='5um'"
14.1,-26.6462189960955,-26.4570000824364,-27.3561670561895,-27.4678747585946,-27.7722516183983,-27.6570804623999,-27.2048742230618
14.2,-26.5868669867299,-26.3966112070105,-27.2966294248397,-27.4076873166144,-27.711271290869,-27.5962773955382,-27.1447138046199
14.3,-26.5279271537572,-26.3366323517967,-27.2375036216879,-27.3479254388516,-27.6507282470275,-27.5359145731593,-27.0849854908535
14.4,-26.4693942758306,-26.2770588449223,-27.1787844286207,-27.2885835506723,-27.5906163852396,-27.4759858805999,-27.0256833992707
14.5,-26.4112632223635,-26.2178860901973,-27.1204667181161,-27.2296561809919,-27.5309297415775,-27.4164853330465,-26.966801769345
14.6,-26.3535289517039,-26.1591095652012,-27.062545451444,-27.1711379600165,-27.4716624860677,-27.3574070723878,-26.9083349595799
14.7,-26.296186509354,-26.1007248194819,-27.0050156769108,-27.1130236170432,-27.4128089190333,-27.298745364141,-26.8502774446406
14.8,-26.2392310262309,-26.042727472854,-26.9478725281464,-27.0553079783197,-27.3543634675325,-27.2404945944488,-26.7926238125542
14.9,-26.1826577169693,-25.9851132137902,-26.8911112224319,-26.9979859649576,-27.2963206818893,-27.1826492671444,-26.7353687619758
15,-26.1264618782646,-25.9278777978949,-26.8347270590683,-26.9410525909019,-27.238675232316,-27.1252040008836,-26.6785070995188
15.1,-26.0706388872556,-25.8710170464544,-26.7787154177829,-26.8845029609503,-27.1814219056274,-27.068153526342,-26.62203373715
15.2,-26.0151841999439,-25.8145268450554,-26.7230717571748,-26.8283322688253,-27.1245556020442,-27.011492683474,-26.5659436896466
15.3,-25.960093349653,-25.7584031422666,-26.6677916131968,-26.7725357952937,-27.0680713320841,-26.9552164188354,-26.5102320721163
15.4,-25.9053619455216,-25.7026419483777,-26.6128705976737,-26.7171089063345,-27.0119642135393,-26.8993197829647,-26.4548940975765
15.5,-25.8509856710327,-25.6472393341908,-26.5583043968549,-26.6620470513526,-26.9562294685395,-26.8437979278253,-26.3999250745945
15.6,-25.7969602825783,-25.5921914298593,-26.5040887700021,-26.6073457614367,-26.9008624206972,-26.788646104304,-26.3453204049853
