"Freq [GHz]","dB(St(1,1)) [] - g_pillar_position='27.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='28.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='42.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='57.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='72.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='87.4um' gpillar_r='5um'","dB(St(1,1)) [] - g_pillar_position='102.4um' gpillar_r='5um'"
15.7,-25.7432816080557,-25.5374944237711,-26.4502195480097,-26.5530006476615,-26.8458584923351,-26.7338596597692,-26.291075581567
15.8,-25.6899488652359,-25.4831479288975,-26.3966959488278,-26.4990108079357,-26.7912166751838,-26.679437529711,-26.237189628446
15.9,-25.6369546249331,-25.4291448094006,-26.3435105496244,-26.4453685198783,-26.7369290249311,-26.625371669127,-26.1836546897684
16,-25.5842949233443,-25.3754814235881,-26.2906593901161,-26.3920696268291,-26.6829912466854,-26.5716577031999,-26.1304665207896
16.1,-25.5319658628345,-25.3221541838708,-26.2381385764043,-26.3391100456732,-26.6293991338656,-26.5182913442958,-26.0776209592683
16.2,-25.479963610691,-25.2691595558177,-26.1859442797519,-26.2864857653425,-26.5761485658126,-26.4652683897971,-26.0251139234952
16.3,-25.4282843979061,-25.2164940572387,-26.1340727353865,-26.2341928453539,-26.5232355054715,-26.4125847199876,-25.9729414103705
16.4,-25.3769245179886,-25.1641542572924,-26.082520241333,-26.1822274143821,-26.4706559971436,-26.3602362959902,-25.9210994935338
16.5,-25.3258803258016,-25.1121367756163,-26.0312831572714,-26.1305856688674,-26.4184061643036,-26.3082191577539,-25.8695843215405
16.6,-25.2751482364275,-25.0604382814796,-25.9803579034224,-26.0792638716564,-26.3664822074852,-26.2565294220922,-25.8183921160856
16.7,-25.2247247240594,-25.0090554929554,-25.9297409594573,-26.0282583506751,-26.3148804022273,-26.2051632807705,-25.7675191702755
16.8,-25.1746063209165,-24.9579851761126,-25.8794288634338,-25.977565497634,-26.2635970970844,-26.154116998642,-25.7169618469436
16.9,-25.1247896161858,-24.9072241442253,-25.8294182107554,-25.9271817667626,-26.2126287116961,-26.1033869118316,-25.6667165770109
17,-25.0752712549865,-24.8567692569995,-25.7797056531538,-25.8771036735753,-26.1619717349152,-26.0529694259665,-25.6167798578897
17.1,-25.0260479373586,-24.8066174198153,-25.730287897696,-25.8273277936651,-26.1116227229933,-26.0028610144531,-25.5671482519296
17.2,-24.977116417274,-24.7567655829851,-25.6811617058114,-25.777850761526,-26.0615782978208,-25.9530582168002,-25.5178183849047
17.3,-24.9284735016698,-24.7072107410252,-25.6323238923425,-25.7286692694027,-26.0118351452208,-25.9035576369841,-25.4687869445412
17.4,-24.8801160495038,-24.6579499319428,-25.5837713246159,-25.6797800661672,-25.9623900132951,-25.8543559418604,-25.4200506790843
17.5,-24.8320409708304,-24.6089802365347,-25.5355009215336,-25.6311799562214,-25.9132397108207,-25.8054498596162,-25.3716063959034
17.6,-24.784245225897,-24.5602987776997,-25.4875096526846,-25.5828657984243,-25.8643811056948,-25.7568361782651,-25.3234509601348
17.7,-24.7367258242616,-24.5119027197629,-25.4397945374758,-25.5348345050449,-25.8158111234274,-25.7085117441831,-25.275581293361
17.8,-24.6894798239286,-24.4637892678118,-25.3923526442819,-25.4870830407386,-25.7675267456804,-25.6604734606838,-25.2279943723259
17.9,-24.6425043305038,-24.4159556670442,-25.3451810896129,-25.4396084215464,-25.7195250088507,-25.6127182866331,-25.1806872276848
18,-24.5957964963687,-24.3683992021265,-25.2982770373003,-25.3924077139177,-25.6718030026961,-25.565243235102,-25.1336569427878
18.1,-24.5493535198714,-24.3211171965636,-25.2516376977003,-25.345478033755,-25.6243578690041,-25.5180453720564,-25.0869006524976
18.2,-24.5031739160385,-24.2741083317746,-25.2052615978301,-25.2988178464646,-25.5771881302216,-25.471123145823,-25.0404168577806
18.3,-24.4572549343075,-24.2273699701128,-25.1591460004791,-25.2524243245339,-25.5302909892753,-25.4244736842312,-24.9942027539101
18.4,-24.4115926229313,-24.1808982167537,-25.1132869683047,-25.2062934136193,-25.4836623946094,-25.3780928614405,-24.9482542958144
18.5,-24.3661843575769,-24.1346905454662,-25.0676818913261,-25.1604224195719,-25.4372996848973,-25.3319779439262,-24.9025688145166
18.6,-24.3210275560633,-24.088744465835,-25.0223282023174,-25.1148086931988,-25.3912002447238,-25.286126244992,-24.8571436870744
18.7,-24.2761196776527,-24.0430575226894,-24.9772233761045,-25.0694496294304,-25.3453615034785,-25.2405351236634,-24.8119763355825
18.8,-24.2314582223548,-23.9976272955414,-24.9323649288758,-25.024342666504,-25.2997809342839,-25.1952019836137,-24.7670642262045
18.9,-24.1870407302466,-23.9524513980325,-24.8877504175065,-24.9794852851667,-25.2544560529541,-25.1501242721185,-24.7224048682321
19,-24.1428647808063,-23.9075274773891,-24.8433774388958,-24.9348750078956,-25.2093844169851,-25.1052994790402,-24.6779958131711
19.1,-24.0989279922601,-23.8628532138873,-24.7992436293167,-24.8905093981337,-25.1645636245758,-25.0607251358401,-24.6338346538558
19.2,-24.0552280209421,-23.8184263203252,-24.7553466637788,-24.8463860595439,-25.1199913136769,-25.0163988146173,-24.589919023588
19.3,-24.0117625606684,-23.774244541504,-24.7116842554012,-24.8025026352778,-25.0756651610687,-24.9723181271748,-24.5462465953032
19.4,-23.9685293421216,-23.7303056537174,-24.6682541547989,-24.7588568072605,-25.0315828814662,-24.9284807241108,-24.5028150807621
19.5,-23.9255261322494,-23.6866074642489,-24.6250541494788,-24.7154462954908,-24.9877422266499,-24.8848842939346,-24.4596222297674
19.6,-23.8827507336731,-23.6431478108771,-24.5820820632468,-24.6722688573561,-24.9441409846224,-24.8415265622076,-24.4166658294052
