"Freq [GHz]","lost_power_fraction [] - g_pillar_position='27.4um'","lost_power_fraction [] - g_pillar_position='28.4um'","lost_power_fraction [] - g_pillar_position='42.4um'","lost_power_fraction [] - g_pillar_position='57.4um'","lost_power_fraction [] - g_pillar_position='72.4um'","lost_power_fraction [] - g_pillar_position='87.4um'","lost_power_fraction [] - g_pillar_position='102.4um'"
30.4,0.0302145122232634,0.0303815184628906,0.029761449471633,0.0297763634573293,0.0300065422125183,0.0305376811420889,0.0310297916115426
30.5,0.0302888754204374,0.0304571228285501,0.0298335916197776,0.0298491979789505,0.0300819877943814,0.0306062196789476,0.031106989858793
30.6,0.0303630074465118,0.0305325122670545,0.0299055270720275,0.0299218418309229,0.0301572227661641,0.0306738325309538,0.0311838810153187
30.7,0.0304369099765789,0.0306076860241571,0.0299772577440825,0.0299942965809684,0.0302322459846465,0.0307403320974535,0.0312604687416724
30.8,0.0305105847431867,0.0306826433868376,0.0300487855914681,0.030066563830618,0.0303070563450777,0.030805456018935,0.0313367567431694
30.9,0.0305840335336112,0.0307573836833861,0.030120112606908,0.0301386452129836,0.0303816527813215,0.0308688267838525,0.0314127487474881
31,0.0306572581871491,0.0308319062834997,0.0301912408177428,0.0302105423905766,0.0304560342660278,0.0309298824103763,0.0314884484871933
31.1,0.0307302605924169,0.0309062105983621,0.0302621722833689,0.0302822570531412,0.0305301998107783,0.0309877512423152,0.0315638596865314
31.2,0.0308030426846637,0.0309802960807303,0.0303329090927201,0.0303537909155164,0.0306041484662434,0.0310410115466406,0.0316389860518423
31.3,0.0308756064431003,0.0310541622250104,0.0304034533617771,0.030425145715543,0.0306778793223331,0.0310871946560735,0.0317138312649548
31.4,0.0309479538882583,0.0311278085673423,0.030473807231124,0.0304963232119898,0.0307513915083428,0.0311216631183685,0.0317883989790278
31.5,0.0310200870793607,0.0312012346856706,0.030543972863533,0.0305673251825149,0.0308246841931001,0.0311348076057786,0.0318626928162857
31.6,0.0310920081117234,0.031274440199816,0.0306139524415983,0.0306381534216792,0.0308977565851156,0.03110444528037,0.031936716367241
31.7,0.0311637191141827,0.0313474247715502,0.0306837481654169,0.0307088097389719,0.0309706079327186,0.0309803884282939,0.032010473191006
31.8,0.0312352222465552,0.0314201881046589,0.0307533622503013,0.0307792959568905,0.0310432375241988,0.0308388513736625,0.0320839668163708
31.9,0.0313065196971292,0.0314927299450089,0.030822796924546,0.0308496139090591,0.0311156446879495,0.0314436387145825,0.0321572007434021
32,0.0313776136801901,0.0315650500806098,0.030892054427245,0.0309197654383782,0.0311878287925961,0.0318665855183753,0.0322301784453153
32.1,0.0314485064335757,0.031637148341673,0.030961137006145,0.0309897523952277,0.0312597892471392,0.0319631203046578,0.0323029033704985
32.2,0.031519200216285,0.0317090246006702,0.0310300469155598,0.0310595766356978,0.0313315255010782,0.0320134494424319,0.0323753789445074
32.3,0.0315896973061066,0.031780678772389,0.0310987864143249,0.0311292400198735,0.0314030370445502,0.0320621462635163,0.0324476085719641
32.4,0.0316599999973098,0.0318521108139797,0.0311673577638174,0.031198744410155,0.0314743234084517,0.0321142910352755,0.0325195956382716
32.5,0.0317301105983586,0.0319233207250107,0.0312357632260024,0.0312680916696287,0.0315453841645699,0.0321696980959197,0.0325913435110988
32.6,0.0318000314296828,0.0319943085475122,0.0313040050615601,0.0313372836604751,0.0316162189257009,0.0322275983823272,0.0326628555416007
32.7,0.0318697648214904,0.0320650743660214,0.0313720855280472,0.0314063222424241,0.0316868273457772,0.0322873318726076,0.0327341350653485
32.8,0.0319393131116276,0.0321356183076241,0.0314400068781158,0.0314752092712619,0.0317572091199845,0.0323484101206564,0.0328051854029762
32.9,0.032008677759112,0.0322059394562211,0.0315077705997851,0.0315439458725654,0.0318273628714853,0.03241048502661,0.0328760087694085
33,0.0320778611447088,0.0322760380277851,0.0315753789629032,0.0316125339163801,0.0318972883757195,0.0324732998752669,0.0329466085034141
33.1,0.0321468665124611,0.0323459153652767,0.0316428349636997,0.0316809759714965,0.0319669865658556,0.0325366654784419,0.0330169889882668
33.2,0.032215696210253,0.0324155717675536,0.0317101408180981,0.0317492738635032,0.0320364573044455,0.0326004447676615,0.0330871534850555
33.3,0.0322843525835672,0.0324850075761942,0.0317772987289616,0.0318174294071754,0.0321057004958673,0.032664534326395,0.033157105238881
33.4,0.0323528379736444,0.0325542231755204,0.0318443108846406,0.0318854444052539,0.0321747160864345,0.032728855041729,0.0332268474779075
33.5,0.0324211547157006,0.0326232189926284,0.0319111794575663,0.0319533206472642,0.0322435040645051,0.0327933456297403,0.0332963834121943
33.6,0.0324893051371903,0.0326919954974038,0.0319779066029021,0.0320210599083769,0.0323120644605834,0.0328579580852383,0.0333657162323307
33.7,0.0325572915561217,0.0327605532025479,0.0320444944572468,0.0320886639483261,0.0323803973474185,0.0329226544346877,0.0334348491079129
33.8,0.0326251162794332,0.0328288926635858,0.0321109451373906,0.0321561345103559,0.0324485028401096,0.032987404384018,0.0335037851858574
33.9,0.0326927816014129,0.0328970144788877,0.0321772607391232,0.0322234733202246,0.0325163810962,0.0330521835900149,0.0335725275885715
34,0.0327602898021786,0.0329649192896726,0.0322434433360954,0.0322906820852483,0.0325840323157743,0.0331169723726648,0.0336410794120087
34.1,0.0328276431462102,0.0330326077800273,0.0323094949787269,0.0323577624933831,0.0326514567415491,0.033181754743715,0.0337094437236132
34.2,0.0328948438809297,0.0331000806769017,0.0323754176931693,0.0324247162123567,0.0327186546589694,0.0332465176650572,0.0337776235601647
34.3,0.0329618942353419,0.0331673387501208,0.0324412134803176,0.0324915448888412,0.0327856263962937,0.0333112504763096,0.0338456219255395
34.4,0.0330287964187229,0.0332343828123847,0.032506884314879,0.0325582501476695,0.0328523723246849,0.0333759444484082,0.0339134417884044
34.5,0.0330955526193626,0.033301213719263,0.032572432144465,0.0326248335910834,0.0329188928582932,0.0334405924321334,0.0339810860798484
34.6,0.0331621650033594,0.0333678323691993,0.0326378588887688,0.0326912967980379,0.0329851884543393,0.0335051885788832,0.0340485576909526
34.7,0.03322863571347,0.0334342397034975,0.0327031664387616,0.0327576413235309,0.0330512596131984,0.0335697281169969,0.0341158594703306
34.8,0.0332949668680005,0.0335004367063198,0.0327683566559413,0.0328238686979834,0.0331171068784786,0.0336342071711492,0.0341829942216213
34.9,0.0333611605597638,0.0335664244046671,0.0328334313716341,0.0328899804266582,0.0331827308370973,0.0336986226154721,0.0342499647009615
35,0.0334272188550714,0.0336322038683776,0.0328983923863372,0.0329559779890992,0.0332481321193539,0.0337629719532574,0.0343167736144286
35.1,0.0334931437927885,0.0336977762101015,0.0329632414691021,0.0330218628386372,0.0333133113990104,0.033827253217805,0.0343834236154793
35.2,0.0335589373834308,0.0337631425852864,0.0330279803569627,0.0330876364019063,0.033378269393357,0.0338914648901976,0.0344499173023693
35.3,0.0336246016083065,0.0338283041921579,0.0330926107544072,0.0331533000784153,0.0334430068632784,0.0339556058307123,0.0345162572155834
35.4,0.0336901371882247,0.0338932602887627,0.0331571333015734,0.0332188541893368,0.033507522467423,0.0340196745143947,0.0345824443754973
35.5,0.0337555473105501,0.0339580141672349,0.0332215506986098,0.0332843011548608,0.033571819217126,0.0340836710972781,0.0346484827043506
35.6,0.0338208338634283,0.0340225671551854,0.0332858645486287,0.0333496422900239,0.0336358980057062,0.034147595272239,0.0347143745520079
35.7,0.0338859987028362,0.0340869206228956,0.0333500764204711,0.0334148788813182,0.0336997597703412,0.0342114469282428,0.0347801222002939
35.8,0.0339510436519561,0.0341510759832831,0.0334141878483693,0.0334800121864211,0.0337634054921209,0.0342752261206829,0.0348457278605277
35.9,0.0340159705006108,0.0342150346918665,0.0334782003316585,0.0335450434339643,0.0338268361961126,0.0343389330459185,0.0349111936711064
36,0.0340807810047203,0.0342787982467258,0.0335421153345104,0.033609973823319,0.0338900529514068,0.0344025680193409,0.0349765216951661
36.1,0.0341454768858137,0.0343423681884635,0.0336059342857092,0.0336748045244284,0.0339530568711781,0.0344661314564035,0.035041713918327
36.2,0.0342100598305783,0.0344057461001641,0.0336696585784614,0.0337395366776501,0.0340158491127282,0.0345296238561709,0.0351067722465277
36.3,0.0342745314904497,0.0344689336073472,0.0337332895702326,0.0338041713936398,0.0340784308775405,0.0345930457869985,0.0351716985040196
36.4,0.0343388934812391,0.0345319323779212,0.033796828582621,0.0338687097532513,0.0341408034113236,0.0346563978740269,0.0352364944314967
36.5,0.0344031473828001,0.0345947441221346,0.0338602769012515,0.0339331528074791,0.0342029680040577,0.0347196807882508,0.0353011616844283
36.6,0.0344672947387363,0.0346573705925231,0.0339236357757175,0.0339975015773996,0.0342649259900355,0.034782895236914,0.0353657018316291
36.7,0.0345313370561346,0.0347198135838554,0.0339869064195306,0.0340617570541685,0.0343266787479013,0.0348460419550655,0.0354301163541034
36.8,0.0345952758053465,0.0347820749330806,0.0340500900101095,0.0341259201990103,0.0343882277006946,0.0349091216981275,0.0354944066442435
36.9,0.0346591124197953,0.0348441565192636,0.0341131876887945,0.0341899919432562,0.0344495743158814,0.0349721352353154,0.0355585740054145
37,0.0347228482958214,0.0349060602635311,0.034176200560882,0.0342539731883859,0.0345107201053892,0.0350350833438319,0.0356226196520363
37.1,0.0347864847925555,0.034967788129003,0.0342391296956905,0.0343178648061061,0.0345716666256409,0.0350979668037233,0.0356865447102223
37.2,0.0348500232318249,0.0350293421207302,0.034301976126648,0.0343816676384279,0.0346324154775836,0.0351607863933069,0.0357503502190941
37.3,0.0349134648980955,0.0350907242856274,0.0343647408513942,0.0344453824977888,0.0346929683067163,0.0352235428851301,0.03581403713288
37.4,0.0349768110384304,0.0351519367124019,0.0344274248319186,0.0345090101671745,0.0347533268031191,0.0352862370423604,0.0358776063239196
37.5,0.0350400628624914,0.0352129815314813,0.034490028994708,0.0345725514002658,0.0348134927014685,0.0353488696155934,0.035941058586736
37.6,0.0351032215425607,0.0352738609149427,0.0345525542309235,0.0346360069216002,0.0348734677810737,0.0354114413400094,0.0360043946433173
37.7,0.0351662882135863,0.0353345770764378,0.0346150013965869,0.0346993774267574,0.0349332538658812,0.0354739529328449,0.0360676151497972
37.8,0.0352292635328268,0.0353951314932972,0.034677370937977,0.0347626631722085,0.0349928519165805,0.0355364048031226,0.0361307201439415
37.9,0.035292148575578,0.0354555264957978,0.0347396636523328,0.0348258648050064,0.0350522638746949,0.0355987976351109,0.0361937101841684
38,0.0353549448098229,0.0355157652118463,0.0348018806692072,0.0348889833476816,0.0351114926165893,0.035661132370303,0.0362565863487068
38.1,0.0354176532211313,0.0355758500217437,0.0348640227053719,0.0349520193812784,0.0351705401462067,0.0357234096333684,0.0363193491317127
38.2,0.0354802747583572,0.0356357833469485,0.0349260904436921,0.0350149734590002,0.0352294085122051,0.0357856300220591,0.0363819990234524
38.3,0.0355428103338254,0.0356955676499928,0.0349880845334031,0.035077846106484,0.035288099807956,0.035847794106002,0.0364445365296983
38.4,0.0356052608235496,0.035755205434383,0.035050005590429,0.035140637822067,0.0353466161715557,0.0359099024256489,0.0365069621938716
38.5,0.0356676270674523,0.0358146992445204,0.0351118541976863,0.035203349077079,0.0354049597858296,0.0359719554913598,0.0365692766220892
38.6,0.0357299098696139,0.0358740516655965,0.0351736309054189,0.035265980316132,0.0354631328783267,0.0360339537826049,0.0366314805111132
