Freq.	S12(V1)
1.11531531531532e+10	(-5.61707033054370e-01dB,1.25272392534334e+02°)
1.12022022022022e+10	(-5.61518585115277e-01dB,1.24236826378013e+02°)
1.12512512512513e+10	(-5.61346404921229e-01dB,1.23201176756841e+02°)
1.13003003003003e+10	(-5.61190965631356e-01dB,1.22165446622746e+02°)
1.13493493493493e+10	(-5.61052728724136e-01dB,1.21129639041363e+02°)
1.13983983983984e+10	(-5.60932143372072e-01dB,1.20093757190241e+02°)
1.14474474474474e+10	(-5.60829645821028e-01dB,1.19057804356917e+02°)
1.14964964964965e+10	(-5.60745658775264e-01dB,1.18021783936824e+02°)
1.15455455455455e+10	(-5.60680590788815e-01dB,1.16985699431058e+02°)
1.15945945945946e+10	(-5.60634835664133e-01dB,1.15949554443996e+02°)
1.16436436436436e+10	(-5.60608771858844e-01dB,1.14913352680765e+02°)
1.16926926926927e+10	(-5.60602761901513e-01dB,1.13877097944559e+02°)
1.17417417417417e+10	(-5.60617151817084e-01dB,1.12840794133818e+02°)
1.17907907907908e+10	(-5.60652270563124e-01dB,1.11804445239254e+02°)
1.18398398398398e+10	(-5.60708429477487e-01dB,1.10768055340739e+02°)
1.18888888888889e+10	(-5.60785921738272e-01dB,1.09731628604044e+02°)
1.19379379379379e+10	(-5.60885021837080e-01dB,1.08695169277446e+02°)
1.19869869869870e+10	(-5.61005985066215e-01dB,1.07658681688197e+02°)
1.20360360360360e+10	(-5.61149047020778e-01dB,1.06622170238845e+02°)
1.20850850850851e+10	(-5.61314423116368e-01dB,1.05585639403439e+02°)
1.21341341341341e+10	(-5.61502308123363e-01dB,1.04549093723596e+02°)
1.21831831831832e+10	(-5.61712875718331e-01dB,1.03512537804433e+02°)
1.22322322322322e+10	(-5.61946278053666e-01dB,1.02475976310396e+02°)
1.22812812812813e+10	(-5.62202645345944e-01dB,1.01439413960948e+02°)
1.23303303303303e+10	(-5.62482085483929e-01dB,1.00402855526146e+02°)
1.23793793793794e+10	(-5.62784683656874e-01dB,9.93663058221205e+01°)
1.24284284284284e+10	(-5.63110502003852e-01dB,9.83297697064205e+01°)
1.24774774774775e+10	(-5.63459579284935e-01dB,9.72932520732762e+01°)
1.25265265265265e+10	(-5.63831930574636e-01dB,9.62567578487502e+01°)
1.25755755755756e+10	(-5.64227546978637e-01dB,9.52202919857984e+01°)
1.26246246246246e+10	(-5.64646395374028e-01dB,9.41838594592393e+01°)
1.26736736736737e+10	(-5.65088418174030e-01dB,9.31474652606369e+01°)
1.27227227227227e+10	(-5.65553533117564e-01dB,9.21111143931072e+01°)
1.27717717717718e+10	(-5.66041633084202e-01dB,9.10748118660465e+01°)
1.28208208208208e+10	(-5.66552585935253e-01dB,9.00385626897945e+01°)
1.28698698698699e+10	(-5.67086234381221e-01dB,8.90023718702305e+01°)
1.29189189189189e+10	(-5.67642395876235e-01dB,8.79662444033144e+01°)
1.29679679679680e+10	(-5.68220862539843e-01dB,8.69301852695784e+01°)
1.30170170170170e+10	(-5.68821401106571e-01dB,8.58941994285675e+01°)
1.30660660660661e+10	(-5.69443752903704e-01dB,8.48582918132493e+01°)
1.31151151151151e+10	(-5.70087633857424e-01dB,8.38224673243819e+01°)
1.31641641641642e+10	(-5.70752734527762e-01dB,8.27867308248657e+01°)
1.32132132132132e+10	(-5.71438720172672e-01dB,8.17510871340657e+01°)
1.32622622622623e+10	(-5.72145230841130e-01dB,8.07155410221312e+01°)
1.33113113113113e+10	(-5.72871881495975e-01dB,7.96800972042987e+01°)
1.33603603603604e+10	(-5.73618262166095e-01dB,7.86447603352045e+01°)
1.34094094094094e+10	(-5.74383938128430e-01dB,7.76095350032000e+01°)
1.34584584584585e+10	(-5.75168450119773e-01dB,7.65744257246810e+01°)
1.35075075075075e+10	(-5.75971314578297e-01dB,7.55394369384406e+01°)
1.35565565565566e+10	(-5.76792023914974e-01dB,7.45045730000489e+01°)
1.36056056056056e+10	(-5.77630046814726e-01dB,7.34698381762683e+01°)
1.36546546546547e+10	(-5.78484828567266e-01dB,7.24352366395091e+01°)
1.37037037037037e+10	(-5.79355791427561e-01dB,7.14007724623380e+01°)
1.37527527527528e+10	(-5.80242335005613e-01dB,7.03664496120376e+01°)
1.38018018018018e+10	(-5.81143836685526e-01dB,6.93322719452318e+01°)
1.38508508508509e+10	(-5.82059652073553e-01dB,6.82982432025809e+01°)
1.38998998998999e+10	(-5.82989115474871e-01dB,6.72643670035497e+01°)
1.39489489489489e+10	(-5.83931540398637e-01dB,6.62306468412645e+01°)
1.39979979979980e+10	(-5.84886220091285e-01dB,6.51970860774546e+01°)
1.40470470470470e+10	(-5.85852428097347e-01dB,6.41636879374924e+01°)
1.40960960960961e+10	(-5.86829418847627e-01dB,6.31304555055381e+01°)
1.41451451451451e+10	(-5.87816428274065e-01dB,6.20973917197890e+01°)
1.41941941941942e+10	(-5.88812674451066e-01dB,6.10644993678496e+01°)
1.42432432432432e+10	(-5.89817358262395e-01dB,6.00317810822221e+01°)
1.42922922922923e+10	(-5.90829664093593e-01dB,5.89992393359201e+01°)
1.43413413413413e+10	(-5.91848760548746e-01dB,5.79668764382255e+01°)
1.43903903903904e+10	(-5.92873801191498e-01dB,5.69346945305757e+01°)
1.44394394394394e+10	(-5.93903925309294e-01dB,5.59026955826022e+01°)
1.44884884884885e+10	(-5.94938258700410e-01dB,5.48708813883181e+01°)
1.45375375375375e+10	(-5.95975914482917e-01dB,5.38392535624605e+01°)
1.45865865865866e+10	(-5.97015993924917e-01dB,5.28078135369977e+01°)
