Freq.	S22(V1)
2.66766766766767e+09	(-1.79276558614334e+01dB,-1.41843892937629e+02°)
2.71671671671672e+09	(-1.78501066985129e+01dB,-1.43579743746645e+02°)
2.76576576576577e+09	(-1.77753807694335e+01dB,-1.45303442114542e+02°)
2.81481481481481e+09	(-1.77034581611028e+01dB,-1.47015475140016e+02°)
2.86386386386386e+09	(-1.76343194245773e+01dB,-1.48716305984862e+02°)
2.91291291291291e+09	(-1.75679456791340e+01dB,-1.50406375321488e+02°)
2.96196196196196e+09	(-1.75043187043488e+01dB,-1.52086102690433e+02°)
3.01101101101101e+09	(-1.74434210217229e+01dB,-1.53755887772979e+02°)
3.06006006006006e+09	(-1.73852359672636e+01dB,-1.55416111583707e+02°)
3.10910910910911e+09	(-1.73297477562224e+01dB,-1.57067137587645e+02°)
3.15815815815816e+09	(-1.72769415411087e+01dB,-1.58709312746683e+02°)
3.20720720720721e+09	(-1.72268034639148e+01dB,-1.60342968499487e+02°)
3.25625625625626e+09	(-1.71793207034528e+01dB,-1.61968421679152e+02°)
3.30530530530531e+09	(-1.71344815185464e+01dB,-1.63585975372501e+02°)
3.35435435435435e+09	(-1.70922752877825e+01dB,-1.65195919724762e+02°)
3.40340340340340e+09	(-1.70526925464400e+01dB,-1.66798532693145e+02°)
3.45245245245245e+09	(-1.70157250211502e+01dB,-1.68394080752710e+02°)
3.50150150150150e+09	(-1.69813656627942e+01dB,-1.69982819557558e+02°)
3.55055055055055e+09	(-1.69496086781007e+01dB,-1.71564994560421e+02°)
3.59959959959960e+09	(-1.69204495603504e+01dB,-1.73140841593243e+02°)
3.64864864864865e+09	(-1.68938851195877e+01dB,-1.74710587411531e+02°)
3.69769769769770e+09	(-1.68699135126782e+01dB,-1.76274450204785e+02°)
3.74674674674675e+09	(-1.68485342735575e+01dB,-1.77832640075310e+02°)
3.79579579579580e+09	(-1.68297483439768e+01dB,-1.79385359487599e+02°)
3.84484484484484e+09	(-1.68135581050400e+01dB,1.79067196309788e+02°)
3.89389389389389e+09	(-1.67999674098241e+01dB,1.77524838887894e+02°)
3.94294294294294e+09	(-1.67889816173505e+01dB,1.75987386264899e+02°)
3.99199199199199e+09	(-1.67806076281848e+01dB,1.74454662555795e+02°)
4.04104104104104e+09	(-1.67748539219284e+01dB,1.72926497642735e+02°)
4.09009009009009e+09	(-1.67717305968745e+01dB,1.71402726864455e+02°)
4.13913913913914e+09	(-1.67712494120966e+01dB,1.69883190723599e+02°)
4.18818818818819e+09	(-1.67734238322536e+01dB,1.68367734610454e+02°)
4.23723723723724e+09	(-1.67782690753951e+01dB,1.66856208541972e+02°)
4.28628628628629e+09	(-1.67858021640679e+01dB,1.65348466914926e+02°)
4.33533533533533e+09	(-1.67960419800409e+01dB,1.63844368272042e+02°)
4.38438438438438e+09	(-1.68090093229788e+01dB,1.62343775080081e+02°)
4.43343343343343e+09	(-1.68247269734212e+01dB,1.60846553518885e+02°)
4.48248248248248e+09	(-1.68432197604452e+01dB,1.59352573280399e+02°)
4.53153153153153e+09	(-1.68645146344234e+01dB,1.57861707376704e+02°)
4.58058058058058e+09	(-1.68886407453143e+01dB,1.56373831956220e+02°)
4.62962962962963e+09	(-1.69156295269674e+01dB,1.54888826127158e+02°)
4.67867867867868e+09	(-1.69455147879635e+01dB,1.53406571787344e+02°)
4.72772772772773e+09	(-1.69783328095594e+01dB,1.51926953459529e+02°)
4.77677677677678e+09	(-1.70141224513599e+01dB,1.50449858131428e+02°)
4.82582582582583e+09	(-1.70529252654040e+01dB,1.48975175099473e+02°)
4.87487487487488e+09	(-1.70947856194149e+01dB,1.47502795815511e+02°)
4.92392392392392e+09	(-1.71397508300485e+01dB,1.46032613735522e+02°)
4.97297297297297e+09	(-1.71878713070555e+01dB,1.44564524169386e+02°)
5.02202202202202e+09	(-1.72392007093764e+01dB,1.43098424130757e+02°)
5.07107107107107e+09	(-1.72937961142954e+01dB,1.41634212186048e+02°)
5.12012012012012e+09	(-1.73517182009108e+01dB,1.40171788301377e+02°)
5.16916916916917e+09	(-1.74130314493142e+01dB,1.38711053686345e+02°)
5.21821821821822e+09	(-1.74778043570414e+01dB,1.37251910633397e+02°)
5.26726726726727e+09	(-1.75461096745378e+01dB,1.35794262351367e+02°)
5.31631631631632e+09	(-1.76180246615870e+01dB,1.34338012791700e+02°)
5.36536536536537e+09	(-1.76936313668964e+01dB,1.32883066465705e+02°)
5.41441441441441e+09	(-1.77730169333059e+01dB,1.31429328250965e+02°)
5.46346346346346e+09	(-1.78562739313885e+01dB,1.29976703184824e+02°)
5.51251251251251e+09	(-1.79435007245862e+01dB,1.28525096242637e+02°)
5.56156156156156e+09	(-1.80348018694247e+01dB,1.27074412098068e+02°)
5.61061061061061e+09	(-1.81302885548303e+01dB,1.25624554862502e+02°)
5.65965965965966e+09	(-1.82300790851229e+01dB,1.24175427800030e+02°)
5.70870870870871e+09	(-1.83342994118980e+01dB,1.22726933014105e+02°)
5.75775775775776e+09	(-1.84430837207527e+01dB,1.21278971101223e+02°)
5.80680680680681e+09	(-1.85565750796639e+01dB,1.19831440766361e+02°)
5.85585585585586e+09	(-1.86749261568602e+01dB,1.18384238393936e+02°)
5.90490490490491e+09	(-1.87983000171926e+01dB,1.16937257567079e+02°)
5.95395395395395e+09	(-1.89268710074140e+01dB,1.15490388526695e+02°)
6.00300300300300e+09	(-1.90608257424274e+01dB,1.14043517560278e+02°)
