"Freq [GHz]","dB(St(1,1)) [] - g='14.5um'","dB(St(1,1)) [] - g='16.5um'","dB(St(1,1)) [] - g='17.5um'","dB(St(1,1)) [] - g='18.5um'","dB(St(1,1)) [] - g='19.5um'","dB(St(1,1)) [] - g='20.5um'","dB(St(1,1)) [] - g='21.5um'","dB(St(1,1)) [] - g='22.5um'","dB(St(1,1)) [] - g='23.5um'","dB(St(1,1)) [] - g='25.5um'"
6.5,-25.794011283807,-26.1088633558812,-24.6954762746106,-27.3781491713283,-25.9043305362163,-23.0468862326152,-25.4844483444763,-27.058202930624,-24.0225025014685,-26.2057419543446
6.6,-25.6874050272609,-26.009902525264,-24.5957196093828,-27.2835836738054,-25.8068486369627,-22.9438713864467,-25.3839348008379,-26.9606033132149,-23.9236233226736,-26.1079574161075
6.7,-25.5849027355562,-25.9130359017945,-24.4982382094783,-27.1912936371091,-25.7117131806217,-22.8431170813316,-25.285697836293,-26.8652951089645,-23.8270469886902,-26.0124506839394
6.8,-25.4860177056976,-25.8181913522526,-24.4029696737766,-27.1012251163925,-25.6188675384792,-22.7445652453411,-25.1896784460405,-26.7722230867663,-23.7327170675577,-25.9191637773353
6.9,-25.39038127464,-25.725314060959,-24.3098544828132,-27.0133265042718,-25.5282576206621,-22.6481604257367,-25.0958203548102,-26.6813344343804,-23.6405797339131,-25.8280415191093
7,-25.2977098583415,-25.6343694624372,-24.2188358518842,-26.9275483959371,-25.4398317277584,-22.5538496333672,-25.0040698590201,-26.5925786172837,-23.5505836140531,-25.7390313713001
7.1,-25.2077813272783,-25.5453443960333,-24.1298595938319,-26.8438434645049,-25.3535404135419,-22.461582198545,-24.9143756798666,-26.5059072481379,-23.4626796423192,-25.6520832819724
7.2,-25.1204182873834,-25.4582457579978,-24.0428739906337,-26.7621663456877,-25.2693363578297,-22.3713096374214,-24.8266888264654,-26.4212739659367,-23.3768209278577,-25.5671495420721
7.3,-25.0354762687507,-25.3730964168282,-23.9578296730075,-26.6824735309511,-25.187174248601,-22.282985527978,-24.740962468246,-26.3386343239873,-23.2929626308968,-25.4841846515737
7.4,-24.9528353465894,-25.2899288470389,-23.8746795073222,-26.6047232684117,-25.1070106725897,-22.196565394831,-24.6571518158735,-26.257945685963,-23.211061847763,-25.4031451942282
7.5,-24.87239415234,-25.2087775798597,-23.7933784891768,-26.5288754708058,-25.0288040136358,-22.1120066021237,-24.5752140100401,-26.1791671293413,-23.131077503928,-25.3239897202825
7.6,-24.7940655528487,-25.1296718994246,-23.7138836430747,-26.4548916299235,-24.9525143581553,-22.0292682538482,-24.4951080175257,-26.1022593556076,-23.052970254444,-25.2466786365994
7.7,-24.7177735003732,-25.0526300906939,-23.6361539276769,-26.382734736964,-24.8781034071411,-21.948311100997,-24.4167945339796,-26.0271846066615,-22.9767023911832,-25.1711741036549
7.8,-24.6434507108394,-24.9776560407191,-23.5601501461703,-26.3123692083173,-24.8055343941687,-21.8690974550009,-24.3402358929247,-25.9539065869197,-22.9022377563453,-25.0974399389363
7.9,-24.5710369332532,-24.9047383377782,-23.4858348613354,-26.243760816329,-24.7347720089241,-21.7915911069583,-24.2653959805271,-25.8823903906545,-22.8295416617504,-25.0254415263032
8,-24.5004776450758,-24.8338514557656,-23.4131723149392,-26.1768766246429,-24.665782325818,-21.7157572522023,-24.1922401557122,-25.8126024341503,-22.7585808134691,-24.9551457309122
8.1,-24.4317230575407,-24.7649583059924,-23.3421283511176,-26.1116849277557,-24.59853273729,-21.6415624197962,-24.1207351752437,-25.7445103922974,-22.6893232413879,-24.8865208193345
8.2,-24.3647273487143,-24.6980133992147,-23.2726703434469,-26.0481551944519,-24.5329918914382,-21.5689744065795,-24.0508491234151,-25.6780831392804,-22.6217382333355,-24.8195363845304
8.3,-24.2994480655418,-24.6329660050807,-23.204767125435,-25.9862580148168,-24.4691296336475,-21.4979622154214,-23.9825513460275,-25.6132906930434,-22.5557962734321,-24.7541632753646
8.4,-24.235853690224,-24.5697716934316,-23.1383962599506,-25.9259727801632,-24.4069249008842,-21.4285034343903,-23.9158198905078,-25.5501118985759,-22.4914767652971,-24.690381160099
8.5,-24.1739066870722,-24.5083762066365,-23.0735289123897,-25.8672717973576,-24.3463493848135,-21.3605689087387,-23.8506260505698,-25.4885185211546,-22.428752037275,-24.6281628330711
