"Freq [GHz]","re(Zo(1)) [] - s='18um'","re(Zo(1)) [] - s='19um'","re(Zo(1)) [] - s='20um'","re(Zo(1)) [] - s='22um'","re(Zo(1)) [] - s='23.5um'","re(Zo(1)) [] - s='24.5um'","re(Zo(1)) [] - s='25.5um'","re(Zo(1)) [] - s='26.5um'"
12.9,51.1073433265202,50.2286418856077,49.6988336150788,48.3840555093766,47.5998193728353,46.7996686496871,46.605553944858,45.9698975381364
13,51.1042697783241,50.225677093923,49.695711854323,48.3811165715578,47.5968254908909,46.7966965074353,46.6028452492774,45.9670674098431
13.1,51.1012230411429,50.2227324792483,49.6926188440754,48.3782043216543,47.5938591056561,46.7937498527991,46.6001558347058,45.9642629169809
13.2,51.0982023354817,50.2198074653896,49.689553752523,48.3753179904968,47.5909194261272,46.7908279453953,46.5974852429883,45.961483345439
13.3,51.0952069072148,50.2169014972852,49.6865157749659,48.3724568344709,47.5880056877934,46.7879300699631,46.5948330311923,45.958728004347
13.4,51.0922360267357,50.2140140401391,49.6835041328932,48.3696201346198,47.5851171516964,46.7850555354678,46.5921987709821,45.9559962252813
13.5,51.0892889881372,50.2111445785959,49.680518073093,48.3668071957814,47.5822531035271,46.7822036742407,46.5895820480256,45.9532873615014
13.6,51.086365108421,50.2082926159565,49.6775568667954,48.3640173457593,47.5794128527572,46.7793738411513,46.58698246143,45.9506007872138
13.7,51.0834637267357,50.2054576734293,49.6746198088461,48.3612499345238,47.5765957318035,46.7765654128119,46.5843996232075,45.9479358968625
13.8,51.0805842036411,50.2026392894178,49.6717062169113,48.3585043334447,47.5738010952247,46.7737777868127,46.5818331577657,45.9452921044462
13.9,51.0777259203993,50.1998370188418,49.6688154307105,48.355779934552,47.571028318949,46.7710103809859,46.5792827014245,45.9426688428595
14,51.0748882782906,50.1970504324887,49.6659468112782,48.3530761498247,47.5682767995307,46.7682626326984,46.5767479019557,45.9400655632585
14.1,51.0720706979531,50.1942791163961,49.6630997402515,48.3503924105068,47.5655459534349,46.7655339981711,46.5742284181457,45.9374817344491
14.2,51.0692726187461,50.1915226712616,49.6602736191839,48.3477281664481,47.5628352163499,46.7628239518237,46.5717239193781,45.9349168422976
14.3,51.0664934981357,50.1887807118796,49.6574678688839,48.3450828854701,47.5601440425248,46.7601319856452,46.5692340852371,45.9323703891626
14.4,51.0637328111014,50.1860528666035,49.6546819287768,48.3424560527552,47.5574719041322,46.7574576085868,46.5667586051291,45.9298418933465
14.5,51.060990049564,50.1833387768314,49.65191525629,48.3398471702586,47.5548182906547,46.7548003459786,46.5642971779221,45.9273308885678
14.6,51.0582647218333,50.1806380965151,49.6491673262596,48.3372557561418,47.5521827082945,46.7521597389675,46.5618495116016,45.9248369234513
14.7,51.0555563520747,50.17795049169,49.646437630359,48.3346813442271,47.5495646794046,46.7495353439763,46.5594153229424,45.9223595610368
14.8,51.0528644797942,50.1752756400254,49.6437256765468,48.332123483472,47.5469637419411,46.7469267321831,46.5569943371952,45.9198983783054
14.9,51.0501886593421,50.1726132303951,49.6410309885344,48.3295817374624,47.5443794489357,46.7443334890188,46.5545862877875,45.9174529657219
15,51.0475284594322,50.169962962465,49.6383531052735,48.3270556839252,47.5418113679879,46.7417552136847,46.552190916037,45.9150229267942
15.1,51.0448834626794,50.1673245462992,49.6356915804596,48.3245449142571,47.5392590807754,46.7391915186867,46.5498079708792,45.9126078776473
15.2,51.0422532651514,50.1646977019819,49.6330459820549,48.3220490330719,47.5367221825821,46.7366420293867,46.547437208605,45.9102074466131
15.3,51.0396374759368,50.1620821592558,49.6304158918263,48.3195676577633,47.5342002818442,46.7341063835707,46.5450783926108,45.907821273834
15.4,51.0370357167278,50.1594776571752,49.6278009049006,48.3171004180831,47.5316929997118,46.7315842310319,46.5427312931595,45.90544901088
15.5,51.0344476214166,50.1568839437727,49.6252006293342,48.3146469557354,47.5291999696267,46.7290752331698,46.5403956871503,45.90309032038
15.6,51.0318728357059,50.1543007757406,49.6226146856985,48.3122069239843,47.5267208369155,46.7265790626029,46.5380713578996,45.9007448756652
15.7,51.0293110167326,50.1517279181242,49.6200427066789,48.309779987276,47.524255258397,46.7240954027956,46.5357580949302,45.8984123604246
15.8,51.0267620741524,50.1491653374477,49.6174845967819,48.3073660651104,47.5218031549604,46.7216241812045,46.5334559028504,45.8960927100714
15.9,51.0242254334931,50.1466126130339,49.6149397388627,48.304964587283,47.5193639403715,46.7191648574094,46.5311643664922,45.8937853752818
16,51.021700784629,50.1440695336802,49.6124078002823,48.302575250204,47.5169373042772,46.7167171458415,46.5288832931262,45.8914900693852
16.1,51.0191878274614,50.1415358954105,49.6098884590206,48.300197760059,47.514522946357,46.7142807703906,46.5266124954567,45.8892065147853
16.2,51.0166862716027,50.139011501226,49.6073814033405,48.2978318324933,47.5121205759965,46.7118554640946,46.52435179145,45.8869344426715
16.3,51.01419583607,50.1364961608652,49.6048863314637,48.2954771923079,47.5097299119719,46.7094409688402,46.5221010041711,45.8846735927403
16.4,51.0117162489897,50.1339896905733,49.6024029512564,48.2931335731658,47.5073506821457,46.7070370350735,46.5198599616252,45.8824237129262
16.5,51.0092472473114,50.1314919128804,49.5999309799271,48.2908007173082,47.5049826231733,46.7046434215209,46.5176284966058,45.8801845591416
16.6,51.0067885765311,50.1290026563876,49.5974701437328,48.2884783752803,47.5026254802191,46.7022598949199,46.515406446549,45.877955895025
16.7,51.0043399904239,50.1265217555621,49.5950201776966,48.2861663056672,47.500279006683,46.6998862297591,46.5131936533924,45.8757374916985
16.8,51.0019012507855,50.1240490505388,49.5925808253331,48.2838642748381,47.4979429639358,46.6975222080264,46.5109899634398,45.8735291275324
16.9,50.9994721271815,50.1215843869301,49.5901518383844,48.2815720566991,47.4956171210643,46.6951676189675,46.5087952272307,45.8713305879182
17,50.9970523967055,50.1191276156422,49.5877329765635,48.2792894324549,47.4933012546243,46.6928222588506,46.5066092994146,45.8691416650491
17.1,50.9946418437451,50.1166785926983,49.585324007307,48.2770161903785,47.4909951484027,46.6904859307408,46.5044320386297,45.8669621577074
17.2,50.9922402597549,50.1142371790683,49.5829247055355,48.2747521255875,47.4886985931869,46.6881584442814,46.5022633073858,45.864791871059
