"Freq [GHz]","lost_power_fraction [] - g='14.5um'","lost_power_fraction [] - g='16.5um'","lost_power_fraction [] - g='17.5um'","lost_power_fraction [] - g='18.5um'","lost_power_fraction [] - g='19.5um'","lost_power_fraction [] - g='20.5um'","lost_power_fraction [] - g='21.5um'","lost_power_fraction [] - g='22.5um'","lost_power_fraction [] - g='23.5um'","lost_power_fraction [] - g='25.5um'"
24.6,0.0796170873742699,0.0727952752678917,0.0720016736456858,0.0686803117921197,0.0677812542609354,0.0673716166927534,0.0651943588580282,0.0648933280451253,0.065032639253196,0.0629567301511141
24.7,0.0797390058312525,0.0729467579807316,0.0721913428295532,0.0687611600309267,0.0679550205846016,0.0676947607105255,0.0653568075500535,0.0650551646538783,0.0651951785122585,0.0631040022785007
24.8,0.0798524711252507,0.0731006606007185,0.0723807882343852,0.0688358502684782,0.0681286230748162,0.0680735576575564,0.0655192162870644,0.0652169435582949,0.065357499411024,0.063251106166993
24.9,0.0799592277410875,0.0732596207154736,0.07257000322353,0.0689079268714952,0.0683020598261121,0.0685307617781247,0.0656815939790479,0.0653786708520279,0.065519609493605,0.0633980590308355
25,0.0800636837395503,0.0734267276073055,0.0727589811065719,0.0689852845801917,0.0684753289381618,0.0690901858363927,0.0658439498429357,0.0655403527061477,0.0656815167275433,0.0635448788083792
25.1,0.0801745020773197,0.0736049499626977,0.0729477151338479,0.0690837571671389,0.0686484285162569,0.0697514533808644,0.066006293404582,0.065701995364042,0.0658432295064271,0.0636915841722433
25.2,0.0803060622171504,0.0737962705658571,0.0731361984906539,0.0692324653805722,0.0688213566721953,0.0704221201587678,0.0661686345008293,0.0658636051363055,0.0660047566524843,0.0638381945393488
25.3,0.0804782384461426,0.0740008497205676,0.0733244242911076,0.0694790417468907,0.0689941115255835,0.0708590238086913,0.0663309832816252,0.0660251883956292,0.0661661074191644,0.0639847300807808
25.4,0.0807120484693814,0.0742167003505231,0.0735123855717044,0.0698862499929563,0.0691666912056338,0.0708478924436117,0.0664933502122488,0.0661867515717264,0.0663272914936957,0.0641312117314595
25.5,0.0810202185925932,0.0744401550064494,0.0737000752845024,0.0705022828233304,0.0693390938534582,0.0705068913427117,0.0666557460755752,0.0663483011462651,0.0664883189996555,0.0642776611996005
25.6,0.0813977492919528,0.0746669056729145,0.0738874834873227,0.0713004672548945,0.0695113158535015,0.0701227491352508,0.0668181824776864,0.0665098436423076,0.0666491991746448,0.0644241011064508
25.7,0.08181868162623,0.0748930366248019,0.0740746056029308,0.0721427093422717,0.0696833571166133,0.0698450556917291,0.0669806705664846,0.0666713857631346,0.0668099445674899,0.0645705550664875
25.8,0.0822492359956327,0.0751157912528929,0.0742614342823892,0.0728665180388985,0.0698552158400374,0.0696895006022592,0.0671432221014319,0.0668329341174726,0.0669705666387532,0.0647170471846916
25.9,0.0826602547347861,0.0753336059650772,0.0744479620611149,0.0733923582371736,0.0700268902483846,0.0696296505733465,0.0673058491696247,0.0669944953462704,0.067131077295644,0.0648636023745293
26,0.0830341857661638,0.0755458917823329,0.0746341813501676,0.0737362966784342,0.0701983785992081,0.0696371643755851,0.0674685641884685,0.0671560761180687,0.0672914888945553,0.0650102463656986
26.1,0.0833656104160631,0.0757527108814488,0.0748200844271085,0.0739544877438353,0.0703696791893213,0.0696908195452093,0.0676313799084212,0.0673176831245027,0.0674518142435912,0.065157005711391
26.2,0.0836583901722701,0.0759544869738625,0.0750056634264312,0.0740997786053608,0.0705407903618761,0.0697761594141884,0.0677943094158045,0.0674793230759745,0.0676120666050496,0.0653039077949906
26.3,0.0839211257586259,0.0761517994348977,0.0751909103295429,0.0742083660565992,0.0707117105142348,0.0698835697443748,0.0679573661356689,0.0676410026974984,0.0677722596978882,0.0654509808361507
26.4,0.0841627952694047,0.0763452589536526,0.0753758169542836,0.0743015683137078,0.07088243810656,0.0700066454663545,0.0681205638346993,0.0678027287247757,0.0679324077000956,0.0655982538961464
26.5,0.0843904236763031,0.0765354436867064,0.075560374943954,0.0743908629389656,0.0710529716711466,0.070141067924801,0.0682839166241711,0.0679645079004844,0.0680925252510005,0.0657457568824517
26.6,0.0846087651125813,0.0767228738700099,0.0757445757558521,0.0744820001604667,0.0712233098223786,0.0702838785131413,0.0684474389629131,0.0681263469708552,0.068252627453426,0.0658935205523969
26.7,0.0848208592629124,0.0769080079276961,0.075928410649276,0.0745776096558375,0.0713934512672129,0.0704330156558408,0.0686111456602755,0.068288252682531,0.0684127298756924,0.0660415765158367
26.8,0.0850286485379944,0.0770912487288205,0.0761118706729936,0.0746786890608535,0.0715633948160374,0.0705870186676988,0.0687750518790935,0.0684502317797544,0.0685728485533992,0.066189957236687
26.9,0.0852334094609943,0.0772729530186226,0.0762949466521386,0.0747854131870177,0.0717331393937014,0.0707448361994915,0.0689391731386021,0.0686122910019255,0.0687329999909,0.0663386960332165
27,0.0854360117844189,0.0774534400918344,0.0764776291745142,0.074897563146506,0.0719026840504067,0.0709057004980843,0.0691035253172913,0.0687744370815406,0.0688932011624458,0.0664878270769255
27.1,0.085637067985144,0.0776329978493949,0.0766599085762886,0.0750147502917936,0.0720720279721496,0.0710690435370736,0.0692681246556654,0.0689366767425833,0.0690534695128339,0.0666373853898921
27.2,0.0858370208185081,0.0778118858165128,0.0768417749270311,0.0751365310019343,0.0722411704902467,0.071234440161106,0.0694329877588691,0.0690990166993642,0.0692138229575196,0.0667874068403711
27.3,0.0860361967214415,0.0779903356636507,0.0770232180140869,0.0752624637324538,0.0724101110894394,0.0714015689266707,0.0695981315991493,0.0692614636559065,0.0693742798819872,0.0669379281364979
27.4,0.0862348399587971,0.078168550304098,0.0772042273262406,0.0753921356540586,0.0725788494139643,0.0715701847171982,0.0697635735180942,0.0694240243058448,0.0695348591402835,0.0670889868178639
27.5,0.0864331354140108,0.0783467027597134,0.0773847920366376,0.0755251734088857,0.0727473852708721,0.0717400993127481,0.0699293312286021,0.069586705332961,0.069695580052472,0.0672406212447704
27.6,0.0866312243346855,0.0785249357622081,0.0775649009849476,0.0756612457307104,0.0729157186298715,0.0719111674136735,0.0700954228165429,0.069749513412334,0.0698564624008105,0.0673928705848817
27.7,0.0868292154983576,0.0787033626320173,0.0777445426587103,0.0758000620646014,0.0730838496188332,0.0720832764567351,0.0702618667419929,0.0699124552121766,0.0700175264243721,0.067545774797074
27.8,0.0870271932849596,0.0788820695198558,0.0779237051738351,0.0759413693858376,0.073251778514234,0.0722563391038081,0.0704286818400398,0.0700755373964073,0.0701787928117955,0.067699374612138
27.9,0.0872252235975578,0.0790611187429468,0.0781023762542329,0.0760849483738746,0.0734195057257904,0.0724302876379406,0.0705958873210188,0.0702387666279683,0.0703402826917957,0.0678537115100839
28,0.0874233589681388,0.0792405547840883,0.078280540675136,0.076230618930785,0.0735870307916406,0.0726050736231925,0.0707635048774806,0.0704021503591448,0.070502018929796,0.0680088317237926
28.1,0.0876216408823578,0.0794204046061539,0.0784581851157685,0.0763782157077562,0.0737543543259356,0.0727806564733324,0.0709315547615019,0.0705656953605503,0.0706640238175172,0.0681647787764317
28.2,0.0878201013186288,0.0796006810168647,0.0786352984511772,0.0765275886497225,0.0739214779690029,0.0729570018868652,0.0711000553027181,0.0707294075666005,0.0708263185250413,0.0683215924141148
28.3,0.0880187663785826,0.0797813904654049,0.0788118666001859,0.0766786177437876,0.0740884023831822,0.0731340873535557,0.0712690272107024,0.0708932936865418,0.0709889257944317,0.0684793168224896
28.4,0.0882176571811419,0.0799625339465892,0.0789878749723216,0.0768312003123699,0.0742551281962636,0.0733118965827008,0.0714384915594044,0.0710573604577947,0.0711518687075367,0.0686379967575128
28.5,0.0884167909449484,0.0801441091774246,0.0791633084413755,0.0769852488308982,0.0744216559590322,0.073490418320833,0.0716084697816831,0.0712216146541505,0.0713151706508159,0.0687976774942594
28.6,0.0886161818203991,0.0803261122049345,0.0793381513179017,0.0771406890506872,0.0745879861075664,0.0736696454079728,0.0717789836623613,0.0713860630946812,0.0714788552731167,0.068958404769506
28.7,0.0888158415311743,0.0805085385327956,0.0795123873206042,0.0772974583882727,0.074754118936309,0.0738495740177862,0.0719500553296354,0.0715507126532039,0.0716429464353946,0.069120224717538
28.8,0.0890157798701196,0.080691383864243,0.0796859995466541,0.0774555045446906,0.0749200545893421,0.0740302030404892,0.0721217072446092,0.071715570268128,0.0718074681514628,0.0692831837986854
28.9,0.0892160050831849,0.0808746445537305,0.0798589704409627,0.0776147843216119,0.0750857930786506,0.0742115335772393,0.0722939621887273,0.0718806429524543,0.0719724445189371,0.0694473287200083
