"Freq [GHz]","dB(St(1,1)) [] - g_pillar_position='49.5um'","dB(St(1,1)) [] - g_pillar_position='62um'","dB(St(1,1)) [] - g_pillar_position='74.5um'","dB(St(1,1)) [] - g_pillar_position='87um'","dB(St(1,1)) [] - g_pillar_position='99.5um'","dB(St(1,1)) [] - g_pillar_position='112um'","dB(St(1,1)) [] - g_pillar_position='124.5um'","dB(St(1,1)) [] - g_pillar_position='137um'","dB(St(1,1)) [] - g_pillar_position='149.5um'","dB(St(1,1)) [] - g_pillar_position='162um'","dB(St(1,1)) [] - g_pillar_position='174.5um'","dB(St(1,1)) [] - g_pillar_position='187um'","dB(St(1,1)) [] - g_pillar_position='199.5um'"
7.9,-23.9083450094177,-25.0768048134561,-24.2411607947457,-25.54541485634,-25.1860766176096,-24.0074712686267,-26.0313677301415,-24.1786908810573,-24.770810034082,-24.0464527173168,-26.2928369765241,-26.2878326036932,-26.4698228228264
8,-23.8162104195808,-24.9866829226345,-24.1510584069902,-25.4539715607321,-25.0950003680373,-23.9181878340648,-25.9397264525475,-24.0886412502793,-24.682887866523,-23.957303300161,-26.203693877002,-26.1977880008028,-26.3799464300686
8.1,-23.7256502605567,-24.8980122826639,-24.0624763721743,-25.3640240554588,-25.0053911331689,-23.830447408395,-25.8495728670073,-24.0001677397646,-24.5963961272291,-23.8696908617792,-26.1159226936526,-26.1092378975957,-26.2915339764159
8.2,-23.6366332927411,-24.8107662553504,-23.9753876570106,-25.2755439750227,-24.9172209789199,-23.7442207045457,-25.7608823281381,-23.9132395434715,-24.5113084912472,-23.783586279552,-26.0295000608117,-26.0221559038093,-26.204558681497
8.3,-23.5491293664296,-24.7249190599922,-23.8897662395794,-25.1885039425356,-24.8304629388126,-23.6594794416778,-25.6736310094989,-23.8278269636566,-24.4275995301478,-23.6989615427624,-25.9444034126877,-25.9365166450045,-26.1189946704151
8.4,-23.4631165094622,-24.6404523556119,-23.8055940070878,-25.1028843315363,-24.7450976431903,-23.5762033195477,-25.5878026926366,-23.7439085138395,-24.345251197597,-23.6157966952631,-25.8606172392061,-25.8523025491472,-26.0348236125025
8.5,-23.3785662175314,-24.5573416391746,-23.7228464676365,-25.0186592619671,-24.6610995871558,-23.494365573196,-25.5033747498061,-23.6614561799014,-24.2642394220705,-23.5340654369614,-25.7781201808301,-25.7694897981884,-25.9520209945183
8.6,-23.2954440853568,-24.4755567947608,-23.6414932825476,-24.9357971744042,-24.5784376963684,-23.4139335671562,-25.4203186411721,-23.5804360379522,-24.1845346440426,-23.4537356994752,-25.6968855030718,-25.6880488461351,-25.8705566662973
8.7,-23.2137238888909,-24.3950751689724,-23.5615119957413,-24.8542742666823,-24.4970884997388,-23.3348826546301,-25.3386134263803,-23.5008223717084,-24.1061147016234,-23.3747834524966,-25.616893534566,-25.6079579248033,-25.7904080335674
8.8,-23.1333802755286,-24.3158748108876,-23.4828809253324,-24.7740675327811,-24.4170293036715,-23.2571889976267,-25.2582387915338,-23.4225903463587,-24.0289581657787,-23.2971855430107,-25.5381252480448,-25.5291960533621,-25.711553233911
8.9,-23.0543887275269,-24.2379344453922,-23.4055791249005,-24.6951547301525,-24.338238159753,-23.1808295337428,-25.1791750178865,-23.3457159707124,-23.9530443121031,-23.2209196559026,-25.4605622333442,-25.4517430000614,-25.6339711070763
9,-22.9767255273455,-24.1612334477162,-23.3295863471106,-24.6175143486413,-24.2606938340188,-23.1057819446446,-25.1014029524952,-23.2701760613762,-23.8783530938471,-23.1459642766107,-25.3841866715918,-25.3755792460045,-25.5576411666835
9.1,-22.9003677247904,-24.0857518191187,-23.2548830095362,-24.541125580912,-24.1843757777116,-23.0320246261524,-25.0249039807099,-23.1959482088298,-23.8048651161381,-23.0722986557081,-25.3089813105245,-25.3006859508525,-25.4825435732498
9.2,-22.8252931058491,-24.0114701636627,-23.1814501625403,-24.4659682942987,-24.1092640994515,-22.9595366598314,-24.9496600003865,-23.1230107452835,-23.7325616113374,-22.9999027752964,-25.2349294408909,-25.2270449203525,-25.40865910847
9.3,-22.7514801631151,-23.9383696660281,-23.1092694590832,-24.3920230039984,-24.0353395387386,-22.8882977860018,-24.8756533977174,-23.0513427142075,-23.6614244154794,-22.9287573171089,-25.1620148738888,-25.1546385755898,-25.3359691506827
9.4,-22.6789080677059,-23.8664320703105,-23.0383231263333,-24.3192708475359,-23.9625834407157,-22.8182883780851,-24.8028670245782,-22.9809238414296,-23.5914359457377,-22.8588436322229,-25.0902219195976,-25.0834499238689,-25.2644556514653
9.5,-22.6075566425848,-23.795639659758,-22.9685939389675,-24.2476935604316,-23.8909777321226,-22.7494894182078,-24.7312841772976,-22.9117345077072,-23.5225791788727,-22.7901437122901,-25.0195353663591,-25.0134625311325,-25.1941011132982
9.6,-22.5374063372037,-23.7259752373998,-22.9000651940502,-24.1772734530063,-23.8205048983772,-22.6818824739919,-24.6608885767617,-22.8437557226831,-23.454837630609,-22.7226401621993,-24.949940461067,-24.9446604958348,-25.1248885682434
9.7,-22.4684382033887,-23.6574221075234,-22.8327206873943,-24.1079933882634,-23.7511479617223,-22.6154496764634,-24.5916643497725,-22.7769691001439,-23.3881953359008,-22.6563161740895,-24.8814228903251,-24.8770284241886,-25.0568015575864
