"Freq [GHz]","lost_power_fraction [] - g_pillar_position='49.5um'","lost_power_fraction [] - g_pillar_position='62um'","lost_power_fraction [] - g_pillar_position='74.5um'","lost_power_fraction [] - g_pillar_position='87um'","lost_power_fraction [] - g_pillar_position='99.5um'","lost_power_fraction [] - g_pillar_position='112um'","lost_power_fraction [] - g_pillar_position='124.5um'","lost_power_fraction [] - g_pillar_position='137um'","lost_power_fraction [] - g_pillar_position='149.5um'","lost_power_fraction [] - g_pillar_position='162um'","lost_power_fraction [] - g_pillar_position='174.5um'","lost_power_fraction [] - g_pillar_position='187um'","lost_power_fraction [] - g_pillar_position='199.5um'"
35.1,0.0835250093659719,0.0821605572902413,0.0830925141651755,0.0812364623155023,0.0811857161783377,0.0846717349953725,0.0827205317796965,0.0853109891731039,0.0836392061785681,0.0855257130339938,0.0829711295721218,0.0835532600080317,0.083601620601449
35.2,0.0836599476071384,0.0823053075249273,0.0832406919247741,0.0813766531493903,0.0813245526629404,0.0848174836955244,0.0828399028104221,0.0854625268695506,0.0837869715788156,0.0856669157045209,0.0831213174119184,0.0836983222059624,0.083738070811299
35.3,0.0837937702831276,0.0824488244385703,0.083387859070495,0.0815157217787621,0.081462372753696,0.08496234058614,0.0829585635177612,0.0856129596035745,0.0839332336432095,0.0858073316752807,0.0832712170332823,0.0838429529540819,0.083873343488518
35.4,0.0839264206033156,0.0825910393226677,0.0835339334437681,0.0816536020455382,0.0815991137516664,0.0851061888546775,0.083076491227773,0.0857621985923497,0.0840778740241686,0.0859468902249412,0.0834207176958826,0.0839870525115766,0.0840073756166376
35.5,0.0840578663564258,0.0827319095643755,0.0836788551464591,0.081790252925111,0.0817347358272149,0.0852489398345695,0.0831936773272223,0.0859101796945583,0.0842208105477234,0.086085536794876,0.0835697139856363,0.0841305298165526,0.0841401301439353
35.6,0.0841880662394129,0.0828713815611302,0.0838225555800461,0.0819256244876952,0.0818691911455174,0.0853905040286863,0.0833101060811612,0.0860568295706605,0.0843619514487925,0.0862232087989938,0.083718095789115,0.084273288400258,0.0842715603952896
35.7,0.0843169808775756,0.083009403126029,0.0839649675723421,0.0820596690003134,0.0820024339312236,0.0855307993488958,0.0834257616165804,0.0862020767539726,0.0845012106656309,0.0863598435353771,0.0838657516923542,0.0844152311044423,0.0844016217180129
35.8,0.0844445728843277,0.0831459237632125,0.084106025569017,0.0821923409988006,0.0821344205408636,0.0856697505527385,0.0835406279383319,0.0863458518596664,0.0846385083049078,0.0864953783734949,0.0840125695493014,0.0845562605592557,0.084530271557269
35.9,0.084570806911718,0.0832808949167227,0.0842456658176543,0.0823235973488577,0.0822651095239408,0.0858072887033348,0.0836546889454824,0.0864880877855741,0.0847737710429562,0.0866297509459497,0.0841584370676796,0.084696279671929,0.084657469521022
36,0.0846956496918684,0.0834142701904157,0.0843838265434404,0.082453397296217,0.0823944616728964,0.0859433506755836,0.0837679284480723,0.0866287199032967,0.0849069324591359,0.0867628993437506,0.0843032424062505,0.0848351921213957,0.084783177434382
