"Freq [GHz]","dB(St(2,1)) [] - gpillar_r='1um'","dB(St(2,1)) [] - gpillar_r='3um'","dB(St(2,1)) [] - gpillar_r='5um'","dB(St(2,1)) [] - gpillar_r='7um'","dB(St(2,1)) [] - gpillar_r='9um'","dB(St(2,1)) [] - gpillar_r='10um'"
37.9,-0.372723992523251,-0.353276336656938,-0.35497691076527,-0.376802942100255,-0.382242231287672,-0.363476361707646
38,-0.372961601282071,-0.353546674351867,-0.355272872084805,-0.377111982367667,-0.382544617901712,-0.363791147371676
38.1,-0.373193883081772,-0.353811839236656,-0.355563610931921,-0.377415159412448,-0.382840792216161,-0.364100407302814
38.2,-0.37342089110071,-0.354071875823437,-0.35584916718337,-0.37771251422189,-0.383130794163409,-0.36440417990599
38.3,-0.37364267972611,-0.354326829727557,-0.356129581784671,-0.378004088893562,-0.383414664809703,-0.364702504669833
38.4,-0.37385930455209,-0.35457674766645,-0.356404896749619,-0.378289926634277,-0.383692446354532,-0.364995422166089
38.5,-0.374070822377523,-0.354821677458326,-0.356675155159689,-0.37857007175891,-0.383964182129916,-0.365282974048854
38.6,-0.374277291203696,-0.355061668020729,-0.356940401163218,-0.378844569689079,-0.384229916599498,-0.365565203053651
38.7,-0.374478770231731,-0.355296769368885,-0.357200679974531,-0.379113466951658,-0.384489695357564,-0.365842152996337
38.8,-0.374675319859864,-0.355527032613959,-0.357456037872844,-0.379376811177214,-0.384743565127856,-0.366113868771887
38.9,-0.374867001680499,-0.355752509961106,-0.357706522201031,-0.379634651098216,-0.38499157376228,-0.366380396352979
39,-0.375053878477042,-0.35597325470737,-0.357952181364281,-0.37988703654716,-0.385233770239456,-0.366641782788465
39.1,-0.375236014220563,-0.35618932123949,-0.35819306482855,-0.380134018454546,-0.385470204663114,-0.366898076201665
39.2,-0.375413474066294,-0.356400765031443,-0.358429223118927,-0.38037564884671,-0.385700928260397,-0.367149325788486
39.3,-0.375586324349861,-0.356607642641948,-0.358660707817809,-0.380611980843515,-0.38592599337997,-0.36739558181545
39.4,-0.375754632583417,-0.356810011711756,-0.358887571562951,-0.380843068655914,-0.386145453490014,-0.367636895617531
39.5,-0.37591846745151,-0.357007930960798,-0.35910986804539,-0.381068967583401,-0.386359363176117,-0.367873319595813
39.6,-0.376077898806826,-0.357201460185211,-0.359327652007167,-0.381289734011297,-0.38656777813896,-0.368104907215088
39.7,-0.3762329976657,-0.357390660254221,-0.359540979238993,-0.381505425407885,-0.386770755191932,-0.36833171300123
39.8,-0.376383836203492,-0.357575593106846,-0.359749906577722,-0.381716100321502,-0.386968352258557,-0.368553792538458
39.9,-0.376530487749759,-0.357756321748474,-0.35995449190368,-0.38192181837742,-0.387160628369881,-0.368771202466438
40,-0.376673026783277,-0.357932910247353,-0.360154794137912,-0.382122640274633,-0.387347643661597,-0.368984000477265
40.1,-0.376811528926842,-0.358105423730861,-0.360350873239218,-0.382318627782514,-0.38752945937115,-0.369192245312323
40.2,-0.376946070941963,-0.358273928381711,-0.36054279020111,-0.382509843737368,-0.387706137834661,-0.369395996758927
40.3,-0.377076693428826,-0.35843845345317,-0.360730567463022,-0.382696306515416,-0.387877693366282,-0.369595272790538
40.4,-0.377203514245161,-0.358599106540271,-0.36091430889585,-0.382878127868563,-0.388044240868793,-0.369790179341745
40.5,-0.37732661356655,-0.358755956996825,-0.361094078606506,-0.383055373841658,-0.388205845985442,-0.369980779345776
40.6,-0.37744607268409,-0.358909075215216,-0.361269941722983,-0.383228111531285,-0.388362575444581,-0.370167136767103
40.7,-0.377561973998256,-0.35905853262188,-0.361441964390616,-0.383396409081671,-0.388514497055909,-0.370349316597497
40.8,-0.377674401012624,-0.359204401672787,-0.361610213768261,-0.383560335680557,-0.38866167970671,-0.370527384851909
40.9,-0.377783438327447,-0.359346755848636,-0.361774758024342,-0.383719961554908,-0.388804193357934,-0.370701408564249
41,-0.377889171633071,-0.359485669650119,-0.361935666332813,-0.383875357966501,-0.388942109040161,-0.370871455783051
41.1,-0.377991687703189,-0.359621218592908,-0.362093008868921,-0.384026597207458,-0.389075498849469,-0.371037595567017
41.2,-0.378091074388056,-0.35975347920261,-0.362246856804952,-0.38417375259564,-0.389204435943151,-0.371199897980405
41.3,-0.378187420607458,-0.359882529009632,-0.362397282305815,-0.384316898469939,-0.389328994535384,-0.371358434088377
41.4,-0.378280816343612,-0.360008446543859,-0.362544358524451,-0.384456110185462,-0.389449249892743,-0.37151327595213
41.5,-0.378371352633939,-0.360131311329303,-0.362688159597298,-0.384591464108661,-0.389565278329597,-0.371664496624024
41.6,-0.378459121563691,-0.360251203878603,-0.362828760639472,-0.384723037612302,-0.389677157203469,-0.371812170142503
41.7,-0.378544216258507,-0.360368205687436,-0.362966237739937,-0.384850909070381,-0.389784964910227,-0.371956371526987
41.8,-0.378626730876787,-0.360482399228859,-0.363100667956566,-0.384975157852924,-0.38988878087919,-0.372097176772605
41.9,-0.378706760602017,-0.360593867947487,-0.36323212931108,-0.385095864320727,-0.389988685568142,-0.372234662844863
42,-0.378784401634948,-0.360702696253649,-0.363360700783875,-0.385213109819981,-0.390084760458276,-0.372368907674159
42.1,-0.378859751185722,-0.360808969517408,-0.363486462308793,-0.385326976676754,-0.390177088048968,-0.372499990150276
42.2,-0.378932907465807,-0.360912774062529,-0.363609494767796,-0.385437548191555,-0.390265751852547,-0.372627990116696
42.3,-0.379003969679969,-0.361014197160311,-0.363729879985445,-0.385544908633626,-0.390350836388889,-0.372752988364879
42.4,-0.379073038018007,-0.361113327023375,-0.363847700723459,-0.385649143235236,-0.390432427180006,-0.372875066628426
42.5,-0.379140213646536,-0.361210252799366,-0.36396304067505,-0.38575033818594,-0.390510610744467,-0.372994307577152
42.6,-0.379205598700581,-0.361305064564578,-0.364075984459245,-0.385848580626632,-0.390585474591761,-0.373110794811081
42.7,-0.379269288512935,-0.361397843851009,-0.364186606711937,-0.385943945038516,-0.39065709181559,-0.373224600188604
